Header id: 	af243246	56fe1289	9078bc29	80340101
03/04/2022 22:24:13
Sample frequency:	999 (Hz)
6 column(s):	SENSOR_TIMESTAMP(ns)	uint64	(8)	SYSTEM_RELATIVE_TIMESTAMP(ms)	uint64	(8)	GYR_CALIB_X(rad/s)	float	(4) 	GYR_CALIB_Y(rad/s)	float	(4) 	GYR_CALIB_Z(rad/s)	float	(4)	ACCURACY	float	(4)	

Calib id: 	af243246	56fe1289	9078bc29	80360200
Calib datetime:	03/04/2022 22:24:13
Calib version:	2
Number of Calibration coefficient:	1
SYSTEM_REFERENCE_TIMESTAMP(ms)	double	(1, 1)
1648995853180

Data id: 	af243246	56fe1289	9078bc29	80350100	
9808135581500827	6	-0.30541515	-0.0641234	-0.038781215	3	
9808135583500827	6	-0.30881855	-0.05820673	-0.039514255	3	
9808135585500827	6	-0.31304225	-0.052028265	-0.040439278	3	
9808135587500827	6	-0.31792918	-0.046652652	-0.04145157	3	
9808135589500827	7	-0.32243213	-0.041643556	-0.042167153	3	
9808135591502389	7	-0.32679546	-0.036442474	-0.0421497	3	
9808135593500827	7	-0.33203143	-0.031799898	-0.0421497	3	
9808135595513327	7	-0.33796555	-0.028326694	-0.042132247	3	
9808135597539889	7	-0.3438473	-0.02565634	-0.04181809	3	
9808135599500827	8	-0.34971163	-0.022671826	-0.041381758	3	
9808135601500827	8	-0.35463345	-0.020507619	-0.04087561	3	
9808135603500827	8	-0.3588397	-0.019634955	-0.040369466	3	
9808135605500827	8	-0.363395	-0.018954275	-0.040160026	3	
9808135607500827	8	-0.36871827	-0.019949114	-0.040072758	3	
9808135609500827	26	-0.3740415	-0.022235494	-0.039409533	3	
9808135611500827	26	-0.37967893	-0.02443461	-0.038816124	3	
9808135613500827	26	-0.3860843	-0.026912976	-0.039200094	3	
9808135615505514	27	-0.39184386	-0.029181905	-0.040317107	3	
9808135617507077	27	-0.3976558	-0.030735249	-0.04171337	3	
9808135619508639	27	-0.40381682	-0.031363565	-0.043231804	3	
9808135621500827	27	-0.40978587	-0.031625368	-0.04447099	3	
9808135623500827	27	-0.41538835	-0.032044247	-0.045937065	3	
9808135625500827	27	-0.42081633	-0.03190462	-0.047787115	3	
9808135627500827	29	-0.42713442	-0.031520646	-0.049480084	3	
9808135629500827	34	-0.43348742	-0.031363565	-0.051434852	3	
9808135631500827	34	-0.43922955	-0.031625368	-0.05318018	3	
9808135633500827	34	-0.44535565	-0.03330088	-0.054524086	3	
9808135635500827	36	-0.451953	-0.036826447	-0.056339227	3	
9808135637500827	38	-0.45779985	-0.041102502	-0.058957223	3	
9808135639500827	40	-0.4639609	-0.04600688	-0.06161012	3	
9808135641500827	42	-0.46994734	-0.052098077	-0.0636347	3	
9808135643502389	44	-0.4745899	-0.05900958	-0.06635742	3	
9808135645500827	47	-0.47931978	-0.06592108	-0.069359384	3	
9808135647500827	48	-0.48471284	-0.07220427	-0.07246607	3	
9808135649500827	50	-0.49038514	-0.077597335	-0.076270886	3	
9808135651500827	52	-0.49490556	-0.08105309	-0.08065166	3	
9808135653500827	54	-0.4992689	-0.083095126	-0.08559094	3	
9808135655500827	56	-0.5041907	-0.0845612	-0.090757124	3	
9808135657500827	58	-0.5084144	-0.08546878	-0.09601056	3	
9808135659500827	60	-0.51202726	-0.08520697	-0.10068805	3	
9808135661500827	64	-0.5150641	-0.08415978	-0.105732046	3	
9808135663516452	65	-0.5182057	-0.08340929	-0.111910515	3	
9808135665500827	66	-0.52075386	-0.0821701	-0.11756538	3	
9808135667500827	68	-0.52209777	-0.08133234	-0.12239994	3	
9808135669500827	70	-0.5235988	-0.08131489	-0.12688543	3	
9808135671500827	72	-0.5251521	-0.081629045	-0.13156292	3	
9808135673500827	74	-0.5270371	-0.082693696	-0.13693853	3	
9808135675500827	76	-0.5300216	-0.08471828	-0.14165092	3	
9808135677522702	78	-0.53344244	-0.08710938	-0.14608406	3	
9808135679500827	80	-0.53705525	-0.089029245	-0.15072663	3	
9808135681500827	82	-0.54103464	-0.091088735	-0.154514	3	
9808135683500827	84	-0.54644513	-0.09318313	-0.15826645	3	
9808135685500827	86	-0.5527632	-0.09466666	-0.1616873	3	
9808135687500827	88	-0.55911624	-0.09653416	-0.16467181	3	
9808135689500827	90	-0.56580085	-0.09854129	-0.16776104	3	
9808135691500827	92	-0.5723109	-0.100635685	-0.17060593	3	
9808135693500827	94	-0.5796937	-0.10369001	-0.17366026	3	
9808135695500827	96	-0.5868146	-0.1068316	-0.177116	3	
9808135697500827	98	-0.59253925	-0.109693944	-0.18072884	3	
9808135699500827	100	-0.5967804	-0.11211995	-0.18376571	3	
9808135701500827	102	-0.60133576	-0.11437143	-0.18627898	3	
9808135703500827	104	-0.606659	-0.11622147	-0.18887953	3	
9808135705500827	106	-0.6107256	-0.11667526	-0.19182913	3	
9808135707500827	108	-0.6139545	-0.116535634	-0.19491836	3	
9808135709500827	110	-0.6168517	-0.115209185	-0.19807741	3	
9808135711500827	112	-0.6192952	-0.11152654	-0.20093976	3	
9808135713500827	114	-0.6215466	-0.106238194	-0.20367992	3	
9808135715500827	116	-0.6243566	-0.10028662	-0.2070135	3	
9808135717500827	118	-0.62707937	-0.09313077	-0.20994565	3	
9808135719500827	120	-0.62882465	-0.08391543	-0.2136632	3	
9808135721500827	122	-0.63048273	-0.073216565	-0.21738076	3	
9808135723500827	124	-0.63273424	-0.062220987	-0.22015584	3	
9808135725500827	126	-0.6349159	-0.051138148	-0.22254694	3	
9808135727500827	128	-0.63769096	-0.039357174	-0.22383848	3	
9808135729500827	130	-0.64102453	-0.02729695	-0.22436208	3	
9808135731500827	132	-0.64523077	-0.015132004	-0.22457151	3	
9808135733500827	134	-0.65010023	-0.003228859	-0.22403046	3	
9808135735500827	136	-0.6546032	0.007592182	-0.2228611	3	
9808135737500827	138	-0.659909	0.017680185	-0.22144738	3	
9808135739500827	140	-0.66586053	0.027157323	-0.21991149	3	
9808135741500827	142	-0.6717598	0.03668682	-0.21835814	3	
9808135743516452	144	-0.6779382	0.045937065	-0.21580996	3	
9808135745499264	146	-0.68392473	0.05412266	-0.21320942	3	
9808135747500827	148	-0.6898414	0.0628144	-0.21088813	3	
9808135749500827	150	-0.6960373	0.07110471	-0.20835741	3	
9808135751500827	152	-0.7020238	0.07826056	-0.20575686	3	
9808135753500827	154	-0.7073121	0.085905105	-0.20247565	3	
9808135755539889	156	-0.71261793	0.09342747	-0.19863592	3	
9808135757499264	158	-0.7176096	0.101229094	-0.19484855	3	
9808135759500827	160	-0.7215366	0.109135434	-0.1910961	3	
9808135761500827	162	-0.72535884	0.11677998	-0.18704693	3	
9808135763500827	164	-0.7281688	0.1258906	-0.1828756	3	
9808135765500827	166	-0.7308915	0.1365371	-0.17959438	3	
9808135767500827	168	-0.7354643	0.14749777	-0.17699383	3	
9808135769500827	170	-0.740805	0.15891223	-0.17404424	3	
9808135771500827	172	-0.7458141	0.17175785	-0.17064084	3	
9808135773500827	174	-0.750701	0.18551105	-0.16735962	3	
9808135775500827	176	-0.7558497	0.19868828	-0.16413076	3	
9808135777524264	178	-0.7607716	0.2106787	-0.16123351	3	
9808135779500827	180	-0.76593775	0.22123794	-0.15941837	3	
9808135781500827	182	-0.77183694	0.22931881	-0.15868534	3	
9808135783500827	184	-0.77801543	0.23577653	-0.15838863	3	
9808135785500827	186	-0.7840019	0.24218188	-0.15826645	3	
9808135787500827	188	-0.7896044	0.2473306	-0.15917403	3	
9808135789500827	190	-0.7940899	0.2516241	-0.16016887	3	
9808135791500827	192	-0.79843575	0.25558603	-0.1605703	3	
9808135793500827	194	-0.8030434	0.25844836	-0.1616873	3	
9808135795500827	196	-0.8064992	0.25930357	-0.16371189	3	
9808135797500827	199	-0.80854124	0.25808182	-0.16706291	3	
9808135799535202	201	-0.809379	0.2547308	-0.17221163	3	
9808135801500827	203	-0.81002474	0.24801129	-0.1780934	3	
9808135803500827	204	-0.8102866	0.2383247	-0.18460347	3	
9808135805500827	206	-0.8094488	0.22617722	-0.19134045	3	
9808135807500827	208	-0.8075289	0.21272072	-0.19819959	3	
9808135809500827	210	-0.80517274	0.19839157	-0.20572196	3	
9808135811500827	212	-0.8023279	0.18278833	-0.21289526	3	
9808135813500827	214	-0.7989419	0.16727236	-0.21959732	3	
9808135815500827	216	-0.79473567	0.15275122	-0.22673573	3	
9808135817500827	218	-0.78955203	0.13831735	-0.23375195	3	
9808135819500827	220	-0.7849095	0.12487831	-0.23975588	3	
9808135821500827	223	-0.7801796	0.11276572	-0.24441591	3	
9808135823507077	224	-0.7754149	0.101211645	-0.24820328	3	
9808135825503952	226	-0.7715926	0.0895703	-0.25132743	3	
9808135827500827	228	-0.76845104	0.07881907	-0.25385815	3	
